Name;Speed;Control
Yasaka Sweden Defensive;6.5;8.8
Yasaka Sweden EK Carbon;8.9;8.5
Yasaka Sweden Extra;7.8;9.1
Yasaka Sweden Guardian;7.1;9.1
Yasaka Sweeper;5.4;9.3
Yasaka Synergy;8.6;8.6
Yasaka X1;9.4;7.5
Yasaka Yagyu;8;9
Yasaka Yagyu 3 (III);9.3;8.8
Yasaka Zebarate;8.6;9.8
Andro Blax ALL+;8.5;7
Andro Blax OFF;9.1;8.4
Andro Carbon Compact OFF-;8.2;9
Andro Core 7 OFF;9;9.6
Andro Core 7 OFF+;9.5;9.2
Andro CS5 ALL+;8.5;8.5
Andro CS7 Pro;7.8;9
Andro CS7 Tour;8.9;9.5
Andro CS7 Velocity;9.2;7.9
Andro CSV ALL+;8.1;8.9
Andro CSV Carbon OFF++;9.3;8.5
Andro CSV OFF;9;9.4
Andro CSV OFF+;8.9;8.7
Andro CSV OFF-;8.3;9.6
Andro Defcon DEF;-;-
Andro Fibercomp DEF;7.4;9
Andro Flaxonite Cruiser ALL;-;-
Andro Flaxonite Driver OFF;8.9;9.4
Andro Gauzy BL5 ALL;7.5;9
Andro Gauzy BL7 OFF;8.4;9.6
Andro Gauzy HL CO OFF;8.7;9.4
Andro Gauzy SL OFF;8.9;9.1
Andro HiLoom;8.8;9.3
Andro Inizio ALL;8.9;8.9
Andro Inizio OFF;8.7;9
Andro J. M. Saive Kinetic OFF;7.5;7.5
Andro J. M. Saive Kinetic OFF-;7.7;9.1
Andro Kanter ALL+;6.8;8.5
Andro Kanter CO OFF;9;9.2
Andro Kanter Explorer OFF;9.5;9.5
Andro Kanter FO OFF;9;9
Andro Kanter OFF+;9.3;9.2
Andro Kinetic ALL;8;9
Andro Kinetic ALL+;8.3;9.4
Andro Kinetic CF Carbo-Aramid OFF;9;8.7
Andro Kinetic CF Carbon OFF+;9.3;7.8
Andro Kinetic CF Carbon OFF-;-;-
Andro Kinetic CF Kevlar-Carbon OFF;8.5;8.7
Andro Kinetic CF Light ALL+;7.5;10
Andro Kinetic CF Light OFF;8.8;9.5
Andro Kinetic CF Light OFF+;9.4;8.5
Andro Kinetic CF Light OFF-;-;-
Andro Kinetic CF Titanium ALL+;8;9
Andro Kinetic Christian Suss Hinoki ALL+;8.2;8.8
Andro Kinetic Christian Suss Hinoki OFF;8.5;8.3
Andro Kinetic Explorer OFF+;8.5;6.8
Andro Kinetic OFF;-;-
Andro Kinetic OFF+;-;-
Andro Kinetic Record ALL+;8.3;9.6
Andro Kinetic Record OFF;8.9;9.2
Andro Kinetic Record OFF+;9.5;9
Andro Kinetic Record OFF-;8.2;9.4
Andro Kinetic Supreme ALL;7.5;8.3
Andro Kinetic Supreme ALL+;8.3;9.2
Andro Kinetic Supreme Carbon OFF;9;7.7
Andro Kinetic Supreme Carbon OFF+;9.3;7.3
Andro Kinetic Supreme OFF;8.2;9
Andro Kinetic Supreme OFF-;8.4;8.9
Andro Kinetic Supreme OFF- Kiso Hinoki Zylon;8.5;9.4
Andro Kinetic Supreme Zylon/Kiso-Hinoki OFF-;7.8;9
Andro Kinetics Cf Light Off+;-;-
Andro Ligna;-;-
Andro Ligna ALL+;8.1;9.5
Andro Ligna FR OFF;9.5;9.5
Andro Ligna OFF;9.2;9.5
Andro Ligna OFF+;9.6;9.3
Andro Ligna Tour OFF;9.3;9.2
Andro Nightmare OFF;8.5;8.5
Andro Novacell ALL/S;8;9.5
Andro Novacell OFF;8.7;9.2
Andro Novacell OFF/S;9.2;9.2
Andro Parade DEF;6.5;9.2
Andro Performance OFF;10;8
Andro ProLoom;8.8;9.9
Andro Super Core ALL;-;-
Andro Super Core ALL+;6;9
Andro Super Core Carbon Light (CL) ALL+;6.8;8.7
Andro Super Core Carbon Light (CL) OFF;9.1;8.8
Andro Super Core Carbon Light (CL) OFF+;9.6;8.5
Andro Super Core Carbon OFF;-;-
Andro Super Core Carbone Light;-;-
Andro Super Core Cell;-;-
Andro Super Core Cell ALL;7.2;9.3
Andro Super Core Cell ALL+;7.3;9
Andro Super Core Cell Carbon OFF;8.3;9.1
Andro Super Core Cell OFF;9.1;9
Andro Super Core Cell OFF+;9.4;8.8
Andro Super Core Cell OFF-;7.9;8.1
Andro Super Core OFF;-;-
Andro Super Core OFF-;8;8.9
Andro Synteliac VCI OFF;8.7;9.3
Andro Synteliac VCO;9.2;9.2
Andro Synteliac ZCI OFF;-;-
Andro Synteliac ZCO;9.7;8.3
Andro Temper Tech ALL+;7.9;9.5
Andro Temper Tech OFF;9;9.2
Andro Temper Tech OFF+;9.5;9.1
Andro Temper Tech OFF-;8.5;9.3
Andro Timber 5 ALL/S;8.3;9.6
Andro Timber 5 ALLS Small FL;-;-
Andro Timber 5 DEF;-;-
Andro Timber 5 OFF;8.6;9.5
Andro Timber 7 OFF;9.1;9.3
Andro Timber 7 OFF/S;8.9;9.4
Andro TP_Ligna ALL;8.1;9.5
Andro TP_Ligna Ci Off;9.1;9.4
Andro TP_Ligna CO OFF;9.4;9.4
Andro TP_Ligna OFF;8.6;9.3
Andro TP_Ligna OFF/S;9;8
Andro Treiber CI OFF;9.2;9
Andro Treiber CO ALL/S;-;-
Andro Treiber CO OFF;9.5;9.1
Andro Treiber CO OFF/S;9.1;9.3
Andro Treiber FI OFF;9.2;9.5
Andro Treiber FO OFF;9.6;9.5
Andro Treiber FO OFF/S;9.6;8.9
Andro Treiber G;8.8;8.1
Andro Treiber H;8.8;9.1
Andro Treiber K;8.8;9.5
Andro Treiber Q;9.2;9.3
Andro Treiber Z;9.4;9.2
Andro Tronum Aratox OFF+;9.4;9.3
Andro Tronum Carbotox OFF;8.7;9.1
Andro Wanokiwami AO OFF;8.9;9.3
Andro Wanokiwami Midori DEF;7.9;9.5
Andro Wanokiwami Ren OFF;9.1;9.6
Banco Balsa Speed;-;-
Butterfly Adolescen;8.4;8.8
Butterfly Aeolus S;9.3;7.6
Butterfly All - Supa;8;9
Butterfly All Hinoki 5;8;8.5
Butterfly All Hinoki 7;8.8;8.2
Butterfly Allround+;8;10
Butterfly AMC 3000;5;6
Butterfly Amultart ZL Carbon;9.5;8.7
Butterfly Andrzej Grubba (Classic Design);7.1;9
Butterfly Andrzej Grubba 15;7.2;8.3
Butterfly Andrzej Grubba Carbon;8.1;9.1
Butterfly Balsa Carbo;-;-
Butterfly Balsa Carbo X3;8.1;8.7
Butterfly Balsa Carbo X5;8.3;8.5
Butterfly Bastian Steger;7.4;8.9
Butterfly Bazelart;8.6;9.7
Butterfly Biside;8;9
Butterfly Bolgard;8;9
Butterfly Boll Allround;7.9;8.9
Butterfly Boll Allround XXS;-;-
Butterfly Boll Control;-;-
Butterfly Boll Forte N°3;7.6;9.5
Butterfly Boll Fortissimo;-;-
Butterfly Boll Mezzoforte;7.4;9.2
Butterfly Boll Offensive;8.4;7.8
Butterfly Boll TriCarbon;9.7;7.2
Butterfly Brisker Light;-;-
Butterfly BTY CS 2000;-;-
Butterfly Chiang Peng Lung;9.5;8.5
Butterfly Chinese AL;9;8.3
